Year,Trade type,State,Merchandise,Partner country,Geographic level 1,Geographic level 2,Geographic level 3,Sector,Expenditure in thousands
2016,Total Exports,Victoria, Hand or machine tools,Lebanon,Asia,Middle East,Other Middle East,Manufactures,2.696
2016,Total Exports,Victoria, Hand or machine tools,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,12.11
2016,Total Exports,Victoria," Manufactures of base metal, nes",Lebanon,Asia,Middle East,Other Middle East,Manufactures,2.2
2016,Total Exports,Victoria," Manufactures of base metal, nes",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,25.24
2016,Total Exports,Victoria," Manufactures of base metal, nes",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,83.525
2016,Total Exports,Victoria, Steam & other vapour turbines,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,142.617
2016,Total Exports,Victoria, Internal combustion piston engines,Lebanon,Asia,Middle East,Other Middle East,Manufactures,0.883
2016,Total Exports,Victoria, Rotating electric plant & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,24.159
2016,Total Exports,Victoria, Power generating machinery & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,99.695
2016,Total Exports,Victoria, Civil engineering equipment & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,0.191
2016,Total Exports,Victoria, Civil engineering equipment & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,4.399
2016,Total Exports,Victoria, Textile & leather machinery & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,0.375
2016,Total Exports,Victoria, Textile & leather machinery & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,7.524
2016,Total Exports,Victoria, Paper & pulp mill machinery & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,472.736
2016,Total Exports,Victoria, Food processing machines & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,0.831
2016,Total Exports,Victoria, Food processing machines & parts,Northern Mariana Islands,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,42.65
2016,Total Exports,Victoria, Specialised machinery & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,11.216
2016,Total Exports,Victoria, Specialised machinery & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,36.347
2016,Total Exports,Victoria, Metalworking machinery & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,9.643
2016,Total Exports,Victoria, Heating & cooling equipment & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,104.666
2016,Total Exports,Victoria, Pumps for liquids & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,10.07
2016,Total Exports,Victoria, Pumps for liquids & parts,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,2.833
2016,Total Exports,Victoria, Pumps for liquids & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,166.835
2016,Total Exports,Victoria, Pumps (excl liquid pumps) & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,6.527
2016,Total Exports,Victoria, Pumps (excl liquid pumps) & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,14.513
2016,Total Exports,Victoria, Mechanical handling equip & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,1.426
2016,Total Exports,Victoria, Mechanical handling equip & parts,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,13.75
2016,Total Exports,Victoria, Mechanical handling equip & parts,Northern Mariana Islands,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,19.641
2016,Total Exports,Victoria, Non-electrical machinery & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,209.33
2016,Total Exports,Victoria, Non-electrical machinery & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,337.664
2016,Total Exports,Victoria, Ball or roller bearings,Lebanon,Asia,Middle East,Other Middle East,Manufactures,2.728
2016,Total Exports,Victoria, Ball or roller bearings,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,0.449
2016,Total Exports,Victoria," Taps, cocks & valves",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,7.552
2016,Total Exports,Victoria, Transmission shafts & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,4.046
2016,Total Exports,Victoria, Transmission shafts & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,2.16
2016,Total Exports,Victoria, Non-electric parts for machinery,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,2.983
2016,Total Exports,Victoria, Computers,Lebanon,Asia,Middle East,Other Middle East,Manufactures,1.52
2016,Total Exports,Victoria, Computers,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,9.394
2016,Total Exports,Victoria," Monitors, projectors & TVs",Lebanon,Asia,Middle East,Other Middle East,Manufactures,0.831
2016,Total Exports,Victoria," Monitors, projectors & TVs",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,14.658
2016,Total Exports,Victoria, Radio broadcast receivers,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,25.351
2016,Total Exports,Victoria, Telecom equipment & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,79.1
2016,Total Exports,Victoria, Telecom equipment & parts,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,10.332
2016,Total Exports,Victoria, Telecom equipment & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,90.181
2016,Total Exports,Victoria, Electric power machinery & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,2.7
2016,Total Exports,Victoria, Electric power machinery & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,139.799
2016,Total Exports,Victoria, Electrical circuits equipment,Lebanon,Asia,Middle East,Other Middle East,Manufactures,14.58
2016,Total Exports,Victoria, Electrical circuits equipment,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,45.919
2016,Total Exports,Victoria, Electrical distributing equipment,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,91.518
2016,Total Exports,Victoria, Electrical distributing equipment,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,9.111
2016,Total Exports,Victoria," Household-type equipment, nes",Lebanon,Asia,Middle East,Other Middle East,Manufactures,7.778
2016,Total Exports,Victoria," Household-type equipment, nes",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,2.707
2016,Total Exports,Victoria, Electronic integrated circuits,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,11.811
2016,Total Exports,Victoria, Electronic integrated circuits,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,39.615
2016,Total Exports,Victoria," Electrical machinery & parts, nes",Lebanon,Asia,Middle East,Other Middle East,Manufactures,2.632
2016,Total Exports,Victoria," Electrical machinery & parts, nes",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,158.464
2016,Total Exports,Victoria, Passenger motor vehicles,Lebanon,Asia,Middle East,Other Middle East,Manufactures,291.4
2016,Total Exports,Victoria, Passenger motor vehicles,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,80
2016,Total Exports,Victoria," Road motor vehicles, nes",Lebanon,Asia,Middle East,Other Middle East,Manufactures,40
2016,Total Exports,Victoria, Vehicle parts & accessories,Lebanon,Asia,Middle East,Other Middle East,Manufactures,503.564
2016,Total Exports,Victoria, Vehicle parts & accessories,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,20.498
2016,Total Exports,Victoria, Motorcycles & cycles,Lebanon,Asia,Middle East,Other Middle East,Manufactures,0.831
2016,Total Exports,Victoria, Motorcycles & cycles,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,10.645
2016,Total Exports,Victoria," Aircraft, spacecraft & parts",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,41.832
2016,Total Exports,Victoria, Ships & boats (incl hovercraft),Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,162.521
2016,Total Exports,Victoria, Lighting fixtures & fittings,Lebanon,Asia,Middle East,Other Middle East,Manufactures,0.198
2016,Total Exports,Victoria, Lighting fixtures & fittings,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,39.904
2016,Total Exports,Victoria," Furniture, mattresses & cushions",Lebanon,Asia,Middle East,Other Middle East,Manufactures,10.823
2016,Total Exports,Victoria," Travel goods, bags & like containers",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,4.76
2016,Total Exports,Victoria," Travel goods, bags & like containers",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,17.669
2016,Total Exports,Victoria, Women's clothing (excl knitted),Lebanon,Asia,Middle East,Other Middle East,Manufactures,22.281
2016,Total Exports,Victoria, Women's clothing (excl knitted),Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,29.909
2016,Total Exports,Victoria," Men's clothing, knitted",Lebanon,Asia,Middle East,Other Middle East,Manufactures,21.817
2016,Total Exports,Victoria, Other textile clothing,Lebanon,Asia,Middle East,Other Middle East,Manufactures,6.721
2016,Total Exports,Victoria, Other textile clothing,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,27.655
2016,Total Exports,Victoria, Textile clothing accessories,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,5.233
2016,Total Exports,Victoria," Clothing accessories, nes",Lebanon,Asia,Middle East,Other Middle East,Manufactures,57.824
2016,Total Exports,Victoria," Clothing accessories, nes",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,0.28
2016,Total Exports,Victoria, Footwear,Lebanon,Asia,Middle East,Other Middle East,Manufactures,1.662
2016,Total Exports,Victoria, Footwear,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,8.732
2016,Total Exports,Victoria, Medical instruments (incl veterinary),Lebanon,Asia,Middle East,Other Middle East,Manufactures,7.554
2016,Total Exports,Victoria, Medical instruments (incl veterinary),Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,113.324
2016,Total Exports,Victoria, Measuring & analysing instruments,Lebanon,Asia,Middle East,Other Middle East,Manufactures,0.993
2016,Total Exports,Victoria, Measuring & analysing instruments,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,172.311
2016,Total Exports,Victoria," Optical goods, nes",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,5.471
2016,Total Exports,Victoria, Arms & ammunition,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,26.919
2016,Total Exports,Victoria, Printed matter,Lebanon,Asia,Middle East,Other Middle East,Manufactures,2.324
2016,Total Exports,Victoria, Printed matter,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,7.042
2016,Total Exports,Victoria," Plastic articles, nes",Lebanon,Asia,Middle East,Other Middle East,Manufactures,32.44
2016,Total Exports,Victoria," Plastic articles, nes",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,11.795
2016,Total Exports,Victoria," Prams, toys, games & sporting goods",Lebanon,Asia,Middle East,Other Middle East,Manufactures,1.351
2016,Total Exports,Victoria," Office & stationery supplies, nes",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,116.606
2016,Total Exports,Victoria, Artwork & antiques,Lebanon,Asia,Middle East,Other Middle East,Manufactures,225
2016,Total Exports,Victoria, Musical instruments & parts,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,2.048
2016,Total Exports,Victoria, Musical instruments & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,2.745
2016,Total Exports,Victoria," Misc manufactured articles, nes",Lebanon,Asia,Middle East,Other Middle East,Manufactures,6.646
2016,Total Exports,Victoria," Misc manufactured articles, nes",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,34.009
2016,Total Exports,Victoria, Special transactions & commodities,Lebanon,Asia,Middle East,Other Middle East,Other goods,1406.83
2016,Total Exports,Victoria, Special transactions & commodities,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Other goods,405.493
2016,Total Exports,Victoria, Special transactions & commodities,Norway,Europe,Northern & Western Europe,Northern Europe,Other goods,40.338
2016,Total Exports,Victoria, Confidential items of trade,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Other goods,2.04
2016,Total Exports,Queensland, Live animals (excl seafood),Norway,Europe,Northern & Western Europe,Northern Europe,"Agriculture, forestry & fisheries",3
2016,Total Exports,Queensland," Beef, f.c.f.",Lebanon,Asia,Middle East,Other Middle East,"Agriculture, forestry & fisheries",8349.555
2016,Total Exports,Queensland," Beef, f.c.f.",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,"Agriculture, forestry & fisheries",24.492
2016,Total Exports,Queensland," Meat (excl beef), f.c.f.",Lebanon,Asia,Middle East,Other Middle East,"Agriculture, forestry & fisheries",31.473
2016,Total Exports,Queensland," Meat (excl beef), f.c.f.",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,"Agriculture, forestry & fisheries",284.698
2016,Total Exports,Queensland," Fish, f.c.f.",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,"Agriculture, forestry & fisheries",19.425
2016,Total Exports,Queensland," Crustaceans, f.c.f.",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,"Agriculture, forestry & fisheries",13.299
2016,Total Exports,Queensland, Wheat flour,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,"Agriculture, forestry & fisheries",10.291
2016,Total Exports,Queensland, Cereal preparations,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,"Agriculture, forestry & fisheries",4.748
2016,Total Exports,Queensland," Vegetables, f.c.f.",Lebanon,Asia,Middle East,Other Middle East,"Agriculture, forestry & fisheries",1212.344
2016,Total Exports,Queensland, Fruit & nuts,Lebanon,Asia,Middle East,Other Middle East,"Agriculture, forestry & fisheries",1382.542
2016,Total Exports,Queensland," Sugars, molasses & honey",Northern Mariana Islands,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,"Agriculture, forestry & fisheries",19.653
2016,Total Exports,Queensland, Spices,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,"Agriculture, forestry & fisheries",0.36
2016,Total Exports,Queensland, Animal feed,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,"Agriculture, forestry & fisheries",12.508
2016,Total Exports,Queensland," Edible products & preparations, nes",Norway,Europe,Northern & Western Europe,Northern Europe,"Agriculture, forestry & fisheries",24.88
2016,Total Exports,Queensland," Non-alcoholic beverages, nes",Northern Mariana Islands,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,"Agriculture, forestry & fisheries",13.08
2016,Total Exports,Queensland," Non-alcoholic beverages, nes",Norway,Europe,Northern & Western Europe,Northern Europe,"Agriculture, forestry & fisheries",95.107
2016,Total Exports,Queensland, Alcoholic beverages,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,"Agriculture, forestry & fisheries",36.366
2016,Total Exports,Queensland," Tobacco, manufactured",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,"Agriculture, forestry & fisheries",3.33
2016,Total Exports,Queensland," Oil-seeds & oleaginous fruits, hard",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,"Agriculture, forestry & fisheries",46.238
2016,Total Exports,Queensland," Fixed vegetable oils & fats, hard",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,"Agriculture, forestry & fisheries",18.492
2016,Total Exports,Queensland, Pharm products (excl medicaments),Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,0.815
2016,Total Exports,Queensland, Medicaments (incl veterinary),Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,19.241
2016,Total Exports,Queensland, Perfumery & cosmetics (excl soap),Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,0.11
2016,Total Exports,Queensland, Perfumery & cosmetics (excl soap),Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,266.438
2016,Total Exports,Queensland, Soap & cleansers,Lebanon,Asia,Middle East,Other Middle East,Manufactures,52.697
2016,Total Exports,Queensland," Plastic tubes, pipes & hoses",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,9.814
2016,Total Exports,Queensland," Plastic plates, sheets & film",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,12.553
2016,Total Exports,Queensland," Insecticides, herbicides, disinfectants",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,0.057
2016,Total Exports,Queensland, Prepared additives for mineral oils,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,12.701
2016,Total Exports,Queensland," Miscellaneous chemical products, nes",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,0.036
2016,Total Exports,Queensland," Veneers, plywood & particle board",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,2.584
2016,Total Exports,Queensland," Wood manufactures, nes",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,21.671
2016,Total Exports,Queensland, Paper & paperboard,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,8.761
2016,Total Exports,Queensland, Paper & paperboard,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,3.19
2016,Total Exports,Queensland," Paper & paperboard, cut to size",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,2.236
2016,Total Exports,Queensland," Paper & paperboard, cut to size",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,0.15
2016,Total Exports,Queensland, Special yarns & fabrics,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,5.475
2016,Total Exports,Queensland, Special yarns & fabrics,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,2.88
2016,Total Exports,Queensland," Made-up textile articles, nes",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,19.329
2016,Total Exports,Queensland," Made-up textile articles, nes",Northern Mariana Islands,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,25.659
2016,Total Exports,Queensland," Made-up textile articles, nes",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,0.5
2016,Total Exports,Queensland, Glassware,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,7.985
2016,Total Exports,Queensland, Pearls & gems,Lebanon,Asia,Middle East,Other Middle East,Manufactures,3.708
2016,Total Exports,Queensland, Iron & steel bars & rods,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,543.54
2016,Total Exports,Queensland, Tubes & pipes of iron or steel,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,3.5
2016,Total Exports,Queensland, Copper,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,0.326
2016,Total Exports,Queensland," Iron, steel, aluminium structures",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,10.7
2016,Total Exports,Queensland, Metal containers,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,3.468
2016,Total Exports,Queensland, Hand or machine tools,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,3.255
2016,Total Exports,Queensland, Hand or machine tools,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,23.811
2016,Total Exports,Queensland," Household equip of base metal, nes",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,2.511
2016,Total Exports,Queensland," Household equip of base metal, nes",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,2
2016,Total Exports,Queensland," Manufactures of base metal, nes",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,2.87
2016,Total Exports,Queensland, Internal combustion piston engines,Lebanon,Asia,Middle East,Other Middle East,Manufactures,61
2016,Total Exports,Queensland, Internal combustion piston engines,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,78.766
2016,Total Exports,Queensland, Rotating electric plant & parts,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,42.9
2016,Total Exports,Queensland, Power generating machinery & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,2.454
2016,Total Exports,Queensland, Agric machinery (excl tractors) & parts,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,117.28
2016,Total Exports,Queensland, Tractors,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,32.85
2016,Total Exports,Queensland, Civil engineering equipment & parts,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,68.364
2016,Total Exports,Queensland, Civil engineering equipment & parts,Northern Mariana Islands,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,12.261
2016,Total Exports,Queensland, Food processing machines & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,3.875
2016,Total Exports,Queensland, Specialised machinery & parts,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,1.5
2016,Total Exports,Queensland, Specialised machinery & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,6.253
2016,Total Exports,Queensland, Pumps for liquids & parts,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,2.586
2016,Total Exports,Queensland, Pumps (excl liquid pumps) & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,18.6
2016,Total Exports,Queensland, Pumps (excl liquid pumps) & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,48.346
2016,Total Exports,Queensland, Mechanical handling equip & parts,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,786.008
2016,Total Exports,Queensland, Non-electrical machinery & parts,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,9.56
2016,Total Exports,Queensland, Non-electrical machinery & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,49.973
2016,Total Exports,Queensland, Ball or roller bearings,Lebanon,Asia,Middle East,Other Middle East,Manufactures,2.981
2016,Total Exports,Queensland," Taps, cocks & valves",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,9.994
2016,Total Exports,Queensland, Transmission shafts & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,2.288
2016,Total Exports,Queensland, Transmission shafts & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,3.275
2016,Total Exports,Queensland, Office machines,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,27.753
2016,Total Exports,Queensland, Computers,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,3.9
2016,Total Exports,Queensland, Computers,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,12.362
2016,Total Exports,Queensland, Computer parts & accessories,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,45.861
2016,Total Exports,Queensland," Monitors, projectors & TVs",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,5.02
2016,Total Exports,Queensland," Monitors, projectors & TVs",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,40.75
2016,Total Exports,Queensland, Telecom equipment & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,2.54
2016,Total Exports,Queensland, Telecom equipment & parts,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,12.671
2016,Total Exports,Queensland, Telecom equipment & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,28.074
2016,Total Exports,Queensland, Electric power machinery & parts,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,2.166
2016,Total Exports,Queensland, Electric power machinery & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,4195.67
2016,Total Exports,Queensland, Electrical circuits equipment,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,5
2016,Total Exports,Queensland, Electrical distributing equipment,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,10.16
2016,Total Exports,Queensland, Electrical distributing equipment,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,2.98
2016,Total Exports,Queensland, Medical electrodiagnostic apparatus,Lebanon,Asia,Middle East,Other Middle East,Manufactures,3.565
2016,Total Exports,Queensland, Medical electrodiagnostic apparatus,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,468.219
2016,Total Exports,Queensland," Household-type equipment, nes",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,3.791
2016,Total Exports,Queensland," Electrical machinery & parts, nes",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,99.54
2016,Total Exports,Queensland," Electrical machinery & parts, nes",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,41.022
2016,Total Exports,Queensland, Passenger motor vehicles,Lebanon,Asia,Middle East,Other Middle East,Manufactures,20
2016,Total Exports,Queensland, Passenger motor vehicles,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,20.682
2016,Total Exports,Queensland, Goods vehicles,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,525.517
2016,Total Exports,Queensland, Vehicle parts & accessories,Lebanon,Asia,Middle East,Other Middle East,Manufactures,25.5
2016,Total Exports,Queensland, Vehicle parts & accessories,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,7.556
2016,Total Exports,Queensland, Motorcycles & cycles,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,54
2016,Total Exports,Queensland," Trailers, semi-trailers & containers",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,17.928
2016,Total Exports,Queensland, Railway vehicles (incl hovertrains),Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,2
2016,Total Exports,Queensland, Prefabricated buildings,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,8.592
2016,Total Exports,Queensland, Lighting fixtures & fittings,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,12.875
2016,Total Exports,Queensland," Furniture, mattresses & cushions",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,59.727
2016,Total Exports,Queensland, Other textile clothing,Lebanon,Asia,Middle East,Other Middle East,Manufactures,70.525
2016,Total Exports,Queensland, Other textile clothing,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,0.008
2016,Total Exports,Queensland, Other textile clothing,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,2.433
2016,Total Exports,Queensland, Textile clothing accessories,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,3.41
2016,Total Exports,Queensland," Clothing accessories, nes",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,16.088
2016,Total Exports,Queensland," Clothing accessories, nes",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,16.64
2016,Total Exports,Queensland, Medical instruments (incl veterinary),Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,4.794
2016,Total Exports,Queensland, Medical instruments (incl veterinary),Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,3.8
