Year,Trade type,State,Merchandise,Partner country,Geographic level 1,Geographic level 2,Geographic level 3,Sector,Expenditure in thousands
2016,Total Exports,New South Wales, Refined petroleum,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Minerals & fuels,14.006
2016,Total Exports,New South Wales," Other animal or veg oils, fats & waxes",Northern Mariana Islands,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,"Agriculture, forestry & fisheries",12.793
2016,Total Exports,New South Wales, Other organic chemicals,Lebanon,Asia,Middle East,Other Middle East,Manufactures,8.129
2016,Total Exports,New South Wales, Other organic chemicals,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,1051.575
2016,Total Exports,New South Wales, Salts of inorganic acids & metals,Lebanon,Asia,Middle East,Other Middle East,Manufactures,23
2016,Total Exports,New South Wales, Salts of inorganic acids & metals,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,62
2016,Total Exports,New South Wales," Pigments, paints & varnishes",Lebanon,Asia,Middle East,Other Middle East,Manufactures,2
2016,Total Exports,New South Wales, Pharm products (excl medicaments),Lebanon,Asia,Middle East,Other Middle East,Manufactures,6.94
2016,Total Exports,New South Wales, Medicaments (incl veterinary),Lebanon,Asia,Middle East,Other Middle East,Manufactures,91.67
2016,Total Exports,New South Wales, Medicaments (incl veterinary),Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,9.15
2016,Total Exports,New South Wales, Perfumery & cosmetics (excl soap),Lebanon,Asia,Middle East,Other Middle East,Manufactures,121.468
2016,Total Exports,New South Wales, Perfumery & cosmetics (excl soap),Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,22.654
2016,Total Exports,New South Wales, Perfumery & cosmetics (excl soap),Northern Mariana Islands,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,166.115
2016,Total Exports,New South Wales, Perfumery & cosmetics (excl soap),Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,3.664
2016,Total Exports,New South Wales, Soap & cleansers,Lebanon,Asia,Middle East,Other Middle East,Manufactures,1.335
2016,Total Exports,New South Wales, Soap & cleansers,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,4.296
2016,Total Exports,New South Wales, Other primary plastics,Lebanon,Asia,Middle East,Other Middle East,Manufactures,0.733
2016,Total Exports,New South Wales," Plastic tubes, pipes & hoses",Lebanon,Asia,Middle East,Other Middle East,Manufactures,2.949
2016,Total Exports,New South Wales," Plastic plates, sheets & film",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,27.88
2016,Total Exports,New South Wales, Prepared additives for mineral oils,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,10.716
2016,Total Exports,New South Wales, Prepared additives for mineral oils,Northern Mariana Islands,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,13.13
2016,Total Exports,New South Wales, Prepared additives for mineral oils,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,0.52
2016,Total Exports,New South Wales," Miscellaneous chemical products, nes",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,8.683
2016,Total Exports,New South Wales," Miscellaneous chemical products, nes",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,10.456
2016,Total Exports,New South Wales," Rubber tyres, treads & tubes",Lebanon,Asia,Middle East,Other Middle East,Manufactures,0.395
2016,Total Exports,New South Wales," Rubber tyres, treads & tubes",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,10.358
2016,Total Exports,New South Wales," Rubber articles, nes",Lebanon,Asia,Middle East,Other Middle East,Manufactures,0.018
2016,Total Exports,New South Wales," Rubber articles, nes",Northern Mariana Islands,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,7.237
2016,Total Exports,New South Wales, Cork manufactures,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,2.088
2016,Total Exports,New South Wales," Veneers, plywood & particle board",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,8.493
2016,Total Exports,New South Wales," Wood manufactures, nes",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,43.143
2016,Total Exports,New South Wales, Paper & paperboard,Lebanon,Asia,Middle East,Other Middle East,Manufactures,1.032
2016,Total Exports,New South Wales, Paper & paperboard,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,2.825
2016,Total Exports,New South Wales," Paper & paperboard, cut to size",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,7.968
2016,Total Exports,New South Wales," Paper & paperboard, cut to size",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,14.405
2016,Total Exports,New South Wales," Tulles, lace & ribbons",Lebanon,Asia,Middle East,Other Middle East,Manufactures,6.695
2016,Total Exports,New South Wales, Special yarns & fabrics,Lebanon,Asia,Middle East,Other Middle East,Manufactures,49.025
2016,Total Exports,New South Wales, Special yarns & fabrics,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,6.152
2016,Total Exports,New South Wales, Floor coverings,Lebanon,Asia,Middle East,Other Middle East,Manufactures,0.75
2016,Total Exports,New South Wales," Lime, cement & construction materials",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,2.79
2016,Total Exports,New South Wales, Clay construction materials,Lebanon,Asia,Middle East,Other Middle East,Manufactures,5.515
2016,Total Exports,New South Wales, Clay construction materials,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,20.436
2016,Total Exports,New South Wales," Mineral manufactures, nes",Lebanon,Asia,Middle East,Other Middle East,Manufactures,0.58
2016,Total Exports,New South Wales," Mineral manufactures, nes",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,6.174
2016,Total Exports,New South Wales, Glass,Lebanon,Asia,Middle East,Other Middle East,Manufactures,1.922
2016,Total Exports,New South Wales, Pottery,Lebanon,Asia,Middle East,Other Middle East,Manufactures,1
2016,Total Exports,New South Wales, Pottery,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,10.014
2016,Total Exports,New South Wales, Flat-rolled alloy steel,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,18.952
2016,Total Exports,New South Wales, Iron & steel bars & rods,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,10.104
2016,Total Exports,New South Wales, Wire of iron or steel,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,19.857
2016,Total Exports,New South Wales, Tubes & pipes of iron or steel,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,15.304
2016,Total Exports,New South Wales, Aluminium,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,6.088
2016,Total Exports,New South Wales," Iron, steel, aluminium structures",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,253.433
2016,Total Exports,New South Wales," Nails, screws, nuts, bolts & rivets",Lebanon,Asia,Middle East,Other Middle East,Manufactures,0.1
